"install_date","app_name","user_id","gender","generation","device_type"
"2013-04-15","game-01",1,"M",40,"iOS"
"2013-04-15","game-01",2,"M",10,"Android"
"2013-04-15","game-01",3,"F",40,"iOS"
"2013-04-15","game-01",4,"M",10,"Android"
"2013-04-15","game-01",5,"M",40,"iOS"
"2013-04-15","game-01",6,"M",40,"iOS"
"2013-04-15","game-01",7,"F",30,"Android"
"2013-04-15","game-01",8,"F",20,"iOS"
"2013-04-15","game-01",9,"F",50,"iOS"
"2013-04-15","game-01",10,"M",20,"Android"
"2013-04-15","game-01",11,"M",40,"iOS"
"2013-04-15","game-01",12,"F",20,"iOS"
"2013-04-15","game-01",13,"M",30,"iOS"
"2013-04-15","game-01",14,"F",30,"iOS"
"2013-04-15","game-01",15,"F",40,"Android"
"2013-04-15","game-01",16,"M",20,"Android"
"2013-04-15","game-01",17,"F",10,"Android"
"2013-04-15","game-01",18,"F",30,"Android"
"2013-04-15","game-01",19,"F",30,"iOS"
"2013-04-15","game-01",20,"F",10,"iOS"
"2013-04-15","game-01",21,"M",20,"Android"
"2013-04-15","game-01",22,"F",30,"Android"
"2013-04-15","game-01",23,"M",20,"Android"
"2013-04-15","game-01",24,"M",50,"iOS"
"2013-04-15","game-01",25,"M",20,"Android"
"2013-04-16","game-01",26,"M",20,"iOS"
"2013-04-16","game-01",27,"F",20,"Android"
"2013-04-16","game-01",28,"M",20,"iOS"
"2013-04-16","game-01",29,"F",20,"iOS"
"2013-04-16","game-01",30,"F",20,"iOS"
"2013-04-16","game-01",31,"F",20,"iOS"
"2013-04-16","game-01",32,"F",50,"Android"
"2013-04-16","game-01",33,"F",10,"Android"
"2013-04-16","game-01",34,"F",40,"iOS"
"2013-04-16","game-01",35,"F",30,"Android"
"2013-04-16","game-01",36,"M",20,"Android"
"2013-04-16","game-01",37,"M",40,"Android"
"2013-04-16","game-01",38,"F",10,"Android"
"2013-04-16","game-01",39,"F",10,"iOS"
"2013-04-16","game-01",40,"M",10,"iOS"
"2013-04-16","game-01",41,"M",30,"iOS"
"2013-04-16","game-01",42,"M",20,"iOS"
"2013-04-16","game-01",43,"F",20,"iOS"
"2013-04-16","game-01",44,"F",30,"Android"
"2013-04-16","game-01",45,"F",10,"iOS"
"2013-04-16","game-01",46,"F",20,"Android"
"2013-04-16","game-01",47,"F",30,"iOS"
"2013-04-16","game-01",48,"M",30,"Android"
"2013-04-16","game-01",49,"F",20,"iOS"
"2013-04-16","game-01",50,"F",20,"Android"
"2013-04-16","game-01",51,"F",30,"Android"
"2013-04-16","game-01",52,"M",30,"Android"
"2013-04-16","game-01",53,"M",20,"Android"
"2013-04-16","game-01",54,"M",10,"Android"
"2013-04-16","game-01",55,"F",20,"iOS"
"2013-04-16","game-01",56,"F",20,"Android"
"2013-04-16","game-01",57,"M",30,"Android"
"2013-04-16","game-01",58,"F",20,"Android"
"2013-04-16","game-01",59,"F",20,"Android"
"2013-04-16","game-01",60,"M",40,"Android"
"2013-04-16","game-01",61,"F",20,"iOS"
"2013-04-16","game-01",62,"M",10,"Android"
"2013-04-16","game-01",63,"M",20,"iOS"
"2013-04-16","game-01",64,"M",20,"Android"
"2013-04-16","game-01",65,"M",20,"Android"
"2013-04-16","game-01",66,"F",30,"iOS"
"2013-04-16","game-01",67,"F",20,"Android"
"2013-04-16","game-01",68,"M",10,"Android"
"2013-04-16","game-01",69,"F",40,"iOS"
"2013-04-16","game-01",70,"M",20,"iOS"
"2013-04-16","game-01",71,"F",10,"iOS"
"2013-04-16","game-01",72,"F",40,"Android"
"2013-04-16","game-01",73,"M",30,"Android"
"2013-04-16","game-01",74,"M",10,"Android"
"2013-04-16","game-01",75,"M",20,"iOS"
"2013-04-16","game-01",76,"M",20,"iOS"
"2013-04-16","game-01",77,"F",20,"Android"
"2013-04-16","game-01",78,"M",20,"iOS"
"2013-04-16","game-01",79,"M",20,"iOS"
"2013-04-16","game-01",80,"F",30,"iOS"
"2013-04-16","game-01",81,"M",30,"iOS"
"2013-04-16","game-01",82,"M",40,"Android"
"2013-04-16","game-01",83,"F",30,"iOS"
"2013-04-16","game-01",84,"F",20,"Android"
"2013-04-16","game-01",85,"M",30,"iOS"
"2013-04-16","game-01",86,"M",50,"Android"
"2013-04-16","game-01",87,"F",20,"iOS"
"2013-04-16","game-01",88,"F",30,"Android"
"2013-04-16","game-01",89,"M",10,"Android"
"2013-04-16","game-01",90,"F",10,"Android"
"2013-04-16","game-01",91,"M",30,"iOS"
"2013-04-16","game-01",92,"M",20,"Android"
"2013-04-16","game-01",93,"F",10,"Android"
"2013-04-16","game-01",94,"M",10,"Android"
"2013-04-16","game-01",95,"F",30,"iOS"
"2013-04-16","game-01",96,"M",30,"iOS"
"2013-04-16","game-01",97,"M",20,"Android"
"2013-04-16","game-01",98,"F",30,"iOS"
"2013-04-16","game-01",99,"M",30,"Android"
"2013-04-16","game-01",100,"M",20,"iOS"
"2013-04-16","game-01",101,"M",20,"iOS"
"2013-04-16","game-01",102,"F",30,"Android"
"2013-04-16","game-01",103,"F",20,"iOS"
"2013-04-16","game-01",104,"M",30,"iOS"
"2013-04-16","game-01",105,"M",30,"Android"
"2013-04-16","game-01",106,"F",10,"iOS"
"2013-04-16","game-01",107,"F",10,"Android"
"2013-04-16","game-01",108,"M",10,"Android"
"2013-04-16","game-01",109,"F",20,"iOS"
"2013-04-16","game-01",110,"F",20,"Android"
"2013-04-16","game-01",111,"F",40,"iOS"
"2013-04-16","game-01",112,"F",10,"Android"
"2013-04-16","game-01",113,"F",20,"iOS"
"2013-04-16","game-01",114,"M",20,"iOS"
"2013-04-16","game-01",115,"F",30,"Android"
"2013-04-17","game-01",116,"F",30,"Android"
"2013-04-17","game-01",117,"F",20,"iOS"
"2013-04-17","game-01",118,"F",20,"iOS"
"2013-04-17","game-01",119,"M",20,"iOS"
"2013-04-17","game-01",120,"F",30,"iOS"
"2013-04-17","game-01",121,"F",20,"iOS"
"2013-04-17","game-01",122,"F",10,"Android"
"2013-04-17","game-01",123,"F",20,"iOS"
"2013-04-17","game-01",124,"F",30,"Android"
"2013-04-17","game-01",125,"F",10,"Android"
"2013-04-17","game-01",126,"F",20,"iOS"
"2013-04-17","game-01",127,"F",20,"Android"
